id,name,host_id,host_name,neighbourhood,room_type,latitude,longitude,price,minimum_nights,availability_365,calculated_host_listings_count,number_of_reviews,number_of_reviews_ltm,reviews_per_month,last_review,host_response_rate,review_scores_rating,area_category,covid_period
2526869,iSanook Student Studio Sublevel 4,8663142,ISanook Hotel,Bang Rak,Private room,13.73391,100.52297,1500,30,302,45,6,1,0.06,2022-04-22,100.0,4.25,Inner City,Recovery Period
2526921,iSanook Student Studio Sublevel 1,8663142,ISanook Hotel,Bang Rak,Private room,13.73205,100.5234,1500,30,321,45,4,0,0.05,2020-01-21,100.0,4.33,Inner City,Pre-COVID
2533574,Artsy 1Bedroom On The Top Floor BKK,12628994,Sornkrit,Phaya Thai,Entire home/apt,13.78756,100.55304,3000,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
1495539,Reservations are not accepted from March to April,3994482,Vincent,Huai Khwang,Entire home/apt,13.79654,100.57543,2500,2,359,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
2541148,"Wifi. Kitchen. Natural Light, 1 bedrm, 200m toBTS",13012967,Bee,Phra Khanong,Entire home/apt,13.70488,100.60475,900,7,271,1,10,0,0.11,2019-01-24,0.0,4.5,Middle City,Pre-COVID
2542746,Spacious 1BR with Spectacular View,13020066,Ome,Khlong Toei,Entire home/apt,13.72635,100.57211,2123,3,294,3,210,18,1.98,2022-12-14,96.0,4.89,Inner City,Recovery Period
1507375,One bed room comfortable condo,8008449,Sina,Vadhana,Entire home/apt,13.70714,100.60281,2236,1,365,1,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
2401250,45 sq.m. room w/Kitchen 1 step from BTS,12271824,Kiat,Phra Khanong,Entire home/apt,13.69011,100.60844,2275,7,98,1,12,0,0.11,2016-12-10,100.0,4.82,Middle City,Pre-COVID
2401426,✵✵Cool Calm and Quiet Near MRT Silom and Center✵✵,1927968,Evan,Sathon,Entire home/apt,13.72065,100.54713,736,1,321,37,120,1,1.12,2022-12-06,100.0,4.57,Inner City,Recovery Period
2547082,iSanook Studio 32 sqm 4,8663142,ISanook Hotel,Bang Rak,Private room,13.73386,100.52322,2100,30,217,45,0,0,0.0,1970-01-01,100.0,0.0,Inner City,Pre-COVID
2548283,iSanook Suite Deluxe 45 sqm 4,8663142,ISanook Hotel,Bang Rak,Private room,13.73227,100.52112,2743,30,341,45,3,0,0.03,2018-02-18,100.0,4.75,Inner City,Pre-COVID
2548310,iSanook Suite 34 sqm 5,8663142,ISanook Hotel,Bang Rak,Private room,13.7319,100.52202,1900,30,323,45,10,1,0.1,2022-11-20,100.0,4.45,Inner City,Recovery Period
2554437,Prima Condo 1BR+Internet near Suvarnabhumi airport,4836941,GrongGaew,Suanluang,Entire home/apt,13.7141,100.64207,1004,3,90,4,0,0,0.0,1970-01-01,0.0,0.0,Middle City,Pre-COVID
2561402,Luxury Apartment type 06,11772331,Nantiruj,Khlong Toei,Private room,13.73833,100.55635,1347,2,330,5,40,1,0.38,2022-07-15,100.0,4.17,Inner City,Recovery Period
2578949,"Bangkok,Room  near JJ market/BTS",12886109,Darawan,Chatu Chak,Private room,13.81674,100.56603,1200,30,363,1,0,0,0.0,1970-01-01,0.0,0.0,Inner City,Pre-COVID
2407073,8-bed Room/in Ratchada/Wifi,12304405,Siamaze,Din Daeng,Private room,13.78653,100.56912,2000,1,90,8,23,0,0.22,2018-02-22,100.0,4.65,Inner City,Pre-COVID
2407610,Nantiruj  Apartment  94 Sqm.   *,11772331,Nantiruj,Khlong Toei,Entire home/apt,13.73892,100.55673,1850,2,330,5,6,0,0.06,2020-01-05,100.0,4.17,Inner City,Pre-COVID
